person,period,action,domain,system_before,system_after,ignition_type,evidence,related_chapter
"秦 / Qin state","秦帝国线索，具体时期待补","建立完整行政结构；书同文线索","文明级 / Civilization","待补","协作系统增强；认同系统是否成立待核查","失败点火 / Failed Ignition（工作假设）","dianhuo/01-manuscript/outline.md","book/03-cases.md"
"周公 / Zhougong","西周初期线索，具体时期待补","不杀被击败诸侯，而是纳入新秩序","文明级 / Civilization","待补","旧势力被重新安置；认同机制待补证据","待判定 / To be determined","dianhuo/01-manuscript/outline.md","book/03-cases.md"
"唐 / Tang order","唐代开放线索，具体时期待补","开放机制运作，同时暴露外部锚点风险","文明级 / Civilization","待补","系统吸纳能力与外部风险并存","延迟点火或失败点火待判定","dianhuo/01-manuscript/outline.md","book/03-cases.md"
"苏联 / Soviet system","苏联后期和解体线索","旧旗帜落下，新身份未及时建立","国家级 / Nation","旧身份撤退过程待补","新认同未完成","失败点火 / Failed Ignition（工作假设）","dianhuo/01-manuscript/outline.md; dianhuo/03-evidence/fact-checks/pending-fact-checks.md","book/03-cases.md"
"元 / Yuan hierarchy","元代线索","依赖等级和强制而非共同提议","文明级 / Civilization","待补","协作或统治结构存在，认同系统待核查","伪点火或失败点火待判定","dianhuo/01-manuscript/outline.md; dianhuo/03-evidence/fact-checks/pending-fact-checks.md","book/03-cases.md"
"中国文明与罗马 / Chinese civilization and Rome","文明续存对比线索","比较元后中国文明续存与罗马碎裂","文明级 / Civilization","待补","文明层系统延续条件待补","待判定 / To be determined","dianhuo/01-manuscript/outline.md; dianhuo/03-evidence/fact-checks/pending-fact-checks.md","book/03-cases.md"
"Google","2026-06-03 预测文件","AI 转型，具体动作待补","公司级 / Company","待补","公司级系统重写待观察","预测中 / Prediction","dianhuo/03-evidence/predictions/2026-06-03-google-ai-transition.md","book/04-method.md"
"中国国企改革 / China SOE reform","2026-06-03 预测文件","改革条件句待补","政策级 / Policy","待补","政策级和公司级应约者待拆分","预测中 / Prediction","dianhuo/03-evidence/predictions/2026-06-03-china-soe-reform.md","book/04-method.md"
"阿根廷米莱改革 / Argentina Milei reform","2026-06-03 预测文件","改革条件句待补","国家级 / Nation","待补","国家级系统重写待观察","预测中 / Prediction","dianhuo/03-evidence/predictions/2026-06-03-argentina-milei.md","book/04-method.md"
"AI 文明协议 / AI civilization protocol","2026-06-03 预测文件","协议形成条件待补","文明级 / Civilization","待补","文明级协作与认同结构待观察","预测中 / Prediction","dianhuo/03-evidence/predictions/2026-06-03-ai-civilization-protocol.md","book/04-method.md"
"CHIPS Act 企业退出权","待核查","企业是否具有可承受退出空间待核查","政策级 / Policy","待补","政策级应约者承诺测试","待判定 / To be determined","dianhuo/03-evidence/fact-checks/pending-fact-checks.md","book/04-method.md"
"空降 CEO / parachuted CEO","组织案例线索，时期待补","外部管理者进入旧组织","公司级 / Company","待补","组织协作系统可能变化，认同系统待补","待判定 / To be determined","dianhuo/04-materials/recurring-lines.md","book/03-cases.md"
"恒大 / Evergrande","组织案例线索，时期待补","具体动作待补","公司级 / Company","待补","心理退出权线索待补","待判定 / To be determined","dianhuo/04-materials/recurring-lines.md","book/03-cases.md"
